0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
"39.99","40","40.01","39.98","40","39.99","39.96","39.99","39.97","39.98","39.9","39.98","39.98","40","39.98","39.97","39.98","39.97","39.97","39.98","39.99","39.99","39.99","40.01","39.97","39.96","39.96","39.98","39.94","39.98","39.97","39.97","39.98","39.97","39.97","39.97","39.96","39.98","39.96","39.97","39.96","39.96","39.96","39.98","39.98","39.96","39.95","39.86","39.97","39.98","40","39.83","39.97","39.99","39.98","39.98","39.97","39.99","39.96","39.98"
"40.03","39.99","40.01","40","40","40.04","39.98","40.01","39.96","39.97","39.84","39.98","39.96","40.01","39.97","39.96","39.98","39.97","39.97","39.98","39.98","39.99","39.99","39.99","40","39.98","39.96","39.97","39.9","39.97","39.99","39.96","39.97","39.97","39.97","39.96","39.96","39.98","39.99","39.97","39.96","39.99","39.98","39.98","39.95","39.98","39.96","39.87","39.99","39.96","39.94","39.87","39.98","40","39.96","39.99","39.99","39.99","39.98","39.99"
"40.07","40","40.03","40.02","40","39.98","39.98","40","39.95","39.96","39.85","39.98","39.98","40","39.97","39.98","39.99","39.98","39.96","39.98","39.97","39.99","39.99","40.01","39.97","39.96","39.97","39.97","40.04","39.97","39.99","39.98","39.98","39.96","39.95","39.97","39.96","39.98","40.01","39.97","39.98","39.98","39.96","39.98","39.92","39.99","39.97","39.89","39.99","39.94","39.97","39.85","39.96","39.97","39.98","40","39.99","39.99","39.99","39.99"
"40.02","40.01","39.99","40","39.99","39.95","39.97","39.99","39.97","39.97","39.84","39.99","39.98","40.01","39.97","39.97","39.98","39.98","39.97","39.97","39.96","39.99","39.99","39.99","39.99","39.96","39.99","39.98","40.07","39.97","39.95","39.98","39.97","39.97","39.97","39.96","39.96","39.98","39.98","39.97","39.98","39.97","39.95","39.98","39.93","39.98","39.96","39.86","39.96","39.93","39.98","39.83","39.98","39.97","39.95","39.99","39.99","40","39.99","39.99"
